,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
2,HANFORD WWTF,CAL001076,HANFORD,CA,9,2022,2023-02-10T12:15:23.575-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",676.9,0,,Land Application,678.0,,,,Class A,other_system
14,AUSTIN COUNTY WSC  PLANT 3,TX0125709,BELLVILLE,TX,6,2022,2022-09-07T10:35:30.119-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
15,LAKE PFLUGERVILLE WWTF,TX0132721,PFLUGERVILLE,TX,6,2022,2022-10-07T13:37:35.841-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class A,other_system
16,PURTIS CREEK STATE PARK WWTP,TX0082856,AUSTIN,TX,6,2022,2022-08-01T11:19:59.102-0500,Other,0.0005,0,,Other Management Practice,,,,0.0005,Not Applicable,other_system
25,CHISOS BASIN  WWTP,TX0094684,BIG BEND NATIONAL PARK,TX,6,2022,2022-09-14T07:22:25.560-0500,Other,0.375,0,,Other Management Practice,,,,0.375,Not Applicable,other_system
35,LAUGHLIN AFB WWTP BLDG 1004,TX0022608,LAUGHLIN AIR FORCE BASE,TX,6,2022,2022-08-31T07:59:34.879-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
48,"DEMING, CITY OF - WWTP",NML000009,DEMING,NM,6,2022,2022-08-17T15:38:10.793-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
49,TOWN OF MUSTANG MHP WWTF,TX0125199,CORSICANA,TX,6,2022,2022-09-23T22:38:38.197-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
56,HARMONY ISD WWTP,TX0097233,BIG SANDY,TX,6,2022,2022-09-29T18:29:22.085-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
67,GLENDALE LAKES SUBDIVISION WWTP,TX0132896,HOUSTON,TX,6,2022,2022-09-21T14:39:07.723-0500,Other,23.33,0,,Land Application,23.33,,,,Class B,other_system
92,MARTIN DIES JR WWTP,TX0068276,AUSTIN,TX,6,2022,2022-09-07T11:52:22.837-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
94,MEADOWS WWTP,TX0021270,HOUSTON,TX,6,2022,2022-09-30T21:07:08.883-0500,Other,48.77,0,,Land Application,48.77,,,,Class B,other_system
127,SCURRY ROSSER ISD WWTP,TX0126128,SCURRY,TX,6,2022,2022-09-01T11:10:58.511-0500,Other,3.03,0,,Other Management Practice,,,,5.16,Not Applicable,other_system
130,"CLOVERDALE, CITY OF",CAL022977,CLOVERDALE,CA,9,2022,2023-02-01T16:14:22.777-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,147.0,0,,Land Application,147.0,,,,Class B,other_system
135,HOOKS JUNIOR HIGH WWTF,TX0118079,HOOKS,TX,6,2022,2022-08-29T08:58:09.055-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
