,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),sic_permit
0,PLUM CREEK WWTP,TX0002011,ALBANY,TX,6,2022,2022-09-27T14:25:54.625-0500,Other,14.99,0,,Other Management Practice,,,,14.99,Not Applicable,"[4952, 4952]"
1,"LIBERTYVILLE STP, VILLAGE OF",ILL029530,LIBERTYVILLE,IL,5,2022,2023-03-01T14:41:02.050-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,400.0,0,,Land Application,379.85,,,,Class B,"[4952, 4952, 4952, 4952]"
2,HANFORD WWTF,CAL001076,HANFORD,CA,9,2022,2023-02-10T12:15:23.575-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",676.9,0,,Land Application,678.0,,,,Class A,['NO_SIC_MATCH']
3,JORDAN BASIN WATER RECLAMATION FACILITY,UTL025852,RIVERTON,UT,8,2022,2023-02-16T14:54:51.887-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3051.0,0,,Land Application,3051.0,,,,Class A EQ,"[1629, 4952, 1629, 4952, 4952, 4952, 4952, 4952, 4952]"
4,KINGSLAND MUD  WWTP,TX0066010,KINGSLAND,TX,6,2022,2022-06-16T13:21:20.084-0500,Other,350.0,0,,Other Management Practice,,,,350.0,Class A,"[4212, 4952, 4952, 4952]"
5,CELINA WWTP,TX0023272,CELINA,TX,6,2022,2022-09-23T11:17:36.795-0500,"A POTW that serves 10,000 people or more",43.27,0,,Other Management Practice,,,,43.27,Class B,"[4952, 4952]"
6,CITY OF LEONARD WWTP,TX0054208,LEONARD,TX,6,2022,2022-07-07T14:55:52.967-0500,Other,54.0,0,,Other Management Practice,,,,54.0,Class A,"[4952, 4952]"
7,SEABROOK WWTP,TX0022250,SEABROOK,TX,6,2022,2022-08-24T08:43:13.403-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",259.86,0,,Other Management Practice,,,,259.86,Not Applicable,"[4952, 4952]"
8,CITY OF JACKSBORO,TX0069825,JACKSBORO,TX,6,2022,2022-09-13T15:09:29.075-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,34.94,0,,Other Management Practice,,,,34.94,Not Applicable,"[4952, 4952]"
9,DALLAS SOUTHSIDE WWTF,TX0047848,DALLAS,TX,6,2022,2022-09-16T09:34:22.470-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,24516.0,0,,Surface Disposal,,24516.0,,,Class B,"[4952, 4952, 4952, 4952, 1542, 4952]"
10,CENTRAL WWTF,TX0047830,DALLAS,TX,6,2022,2022-09-16T09:32:35.357-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,26320.0,0,,Other Management Practice,,,,26320.0,Class B,"[4952, 4952, 4952]"
11,EAST TAWAKONI WWTF,TX0101303,EAST TAWAKONI,TX,6,2022,2022-07-27T11:03:25.470-0500,Other,0.25,0,,Other Management Practice,,,,0.25,Not Applicable,"[4952, 4952]"
12,CITY OF HEMPSTEAD WWTP,TX0023809,HEMPSTEAD,TX,6,2022,2022-09-28T12:22:14.540-0500,Other,67.09,0,,"Land Application, Surface Disposal",47.68,19.42,,,Class B,"[4952, 4952]"
13,DEER PARK WWTP,TX0025321,DEER PARK,TX,6,2022,2022-09-26T10:01:45.571-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",663.0,0,,Other Management Practice,,,,663.0,Class A,"[4952, 4952, 4952]"
14,AUSTIN COUNTY WSC  PLANT 3,TX0125709,BELLVILLE,TX,6,2022,2022-09-07T10:35:30.119-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4941, 4941]"
15,LAKE PFLUGERVILLE WWTF,TX0132721,PFLUGERVILLE,TX,6,2022,2022-10-07T13:37:35.841-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class A,"[1541, 4941, 4941]"
16,PURTIS CREEK STATE PARK WWTP,TX0082856,AUSTIN,TX,6,2022,2022-08-01T11:19:59.102-0500,Other,0.0005,0,,Other Management Practice,,,,0.0005,Not Applicable,"[7033, 7033]"
17,HENDERSON WWTF,TX0022454,LAMPASAS,TX,6,2022,2022-08-23T13:19:39.827-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,231.0,0,,Land Application,231.0,,,,Class B,"[4952, 4952]"
18,OLMITO WSC WWTP,TX0113875,OLMITO,TX,6,2022,2022-09-19T15:25:07.094-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,[4952]
19, IOWA PARK WWTF,TX0052922,IOWA PARK,TX,6,2022,2022-10-10T10:23:37.468-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,12.0,0,,Other Management Practice,,,,7.59,Not Applicable,"[4952, 4952, 4952, 4952]"
20,CITY OF WINNSBORO WWTP,TX0054658,WINNSBORO,TX,6,2022,2022-08-31T09:34:24.401-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,54.15,0,,"Other Management Practice, Land Application",46.15,,,8.15,Class B,"[4952, 4952]"
21,PINE COVE CRIER CREEK WWTP,TX0129429,TYLER,TX,6,2022,2022-08-01T14:56:25.761-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 7032]"
22,CITY OF KILGORE  WWTP,TX0026557,KILGORE,TX,6,2022,2022-09-08T14:27:16.077-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",226.98,0,,Other Management Practice,,,,226.89,Class B,"[4952, 4952, 4952, 4952]"
23,LEE COUNTY FWSD 1 WWTP,TX0077429,DIME BOX,TX,6,2022,2022-09-02T07:33:35.528-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
24,CITY OF STOCKDALE WWTP,TX0054232,STOCKDALE,TX,6,2022,2022-09-15T09:28:12.994-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
25,CHISOS BASIN  WWTP,TX0094684,BIG BEND NATIONAL PARK,TX,6,2022,2022-09-14T07:22:25.560-0500,Other,0.375,0,,Other Management Practice,,,,0.375,Not Applicable,"[7999, 7999]"
26,WHITNEY LAKE POWERHOUSE WWTF,TX0057991,CLIFTON,TX,6,2022,2022-09-07T14:16:40.873-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
27,ORANGE COUNTY WWTF,TX0023795,VIDOR,TX,6,2022,2022-08-30T12:03:08.832-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",112.8,0,,Other Management Practice,,,,112.8,Not Applicable,"[4952, 4952]"
28,CITY OF EUSTACE WWTP,TX0027481,EUSTACE,TX,6,2022,2022-08-04T05:41:36.829-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,20.0,0,,Surface Disposal,,,,,Class B,"[4952, 4952, 4952]"
29,GULF COAST WAT.RECLM.CTR.-WWTP,TX0117960,GROVES,TX,6,2022,2022-09-16T10:11:18.110-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",951.0,0,,Other Management Practice,,,,951.0,Not Applicable,"[4952, 4952, 4952]"
30,REGIONAL WWTF,TX0118443,RIO BRAVO,TX,6,2022,2022-08-08T08:29:01.456-0500,Other,203.24,0,,Other Management Practice,,,,203.24,Not Applicable,"[4952, 4952]"
