sic_permits,count
"(6515,)",47
"(4941,)",35
"(8211, 8211)",34
"(4941, 4941)",14
"(7033,)",12
"(7032,)",8
"(6515, 6515)",8
"(9223, 9223)",7
"(7033, 7033)",6
"(8211,)",5
"(9999, 9999)",5
"(8661,)",4
"(1629, 1629, 1629)",4
"(1542,)",3
"(1389,)",3
"(9511, 9511, 9511)",2
"(9511,)",2
"(8361,)",2
"(4941, 4941, 4941)",2
"(7997,)",2
"(4911, 4911, 4911, 4911, 4911, 4911, 4911, 4911)",2
"(7999, 7999)",2
"(1629, 1629, 1629, 1629, 1629)",2
"(2262, 2262, 2262, 2262)",2
"(9199,)",2
"(8051, 8051)",1
"(3498,)",1
"(3533, 3533, 3533, 3533)",1
"(8211, 8211, 8211, 8211)",1
"(7299, 7299)",1
"(3498, 3498, 3494)",1
"(7999,)",1
"(3511, 3511, 7699, 3511, 7699, 3511, 7699)",1
"(6515, 6515, 6515)",1
"(9223, 9223, 9223, 9223, 213)",1
"(7033, 7033, 8999, 9512, 7033)",1
"(8051, 9223, 8051, 9223)",1
"(1522, 8744, 8744)",1
"(8221, 8221, 8221, 273, 273)",1
"(5541,)",1
"(2892, 5084, 3533, 3533, 3533, 5084)",1
"(2819, 2819, 9611, 2819, 2819, 2819, 2819)",1
"(4011, 4789, 4789, 4789, 4011)",1
"(7041,)",1
"(9711, 1542, 9711, 9711, 1542, 4581, 9711, 9711, 9711, 9711, 1623)",1
"(2491, 2493, 2491, 2441, 2421, 2441, 2436, 2421, 2436, 2491, 2436, 2436, 2436)",1
"(1541, 4941, 4941)",1
"(8211, 8211, 8211)",1
"(6519,)",1
"(3743, 3743)",1
"(7011,)",1
"(9711, 7032, 9711, 7032)",1
"(5812,)",1
"(8641,)",1
"(3171,)",1
"(3731, 3498, 3731, 3498, 3498, 3498, 3731, 3731, 3731)",1
"(4941, 8361)",1
"(3331, 3331, 1021, 3331, 1021)",1
"(8063, 8063)",1
"(3498, 3498, 3498, 3498, 3498)",1
"(7992, 7999)",1
"(8221, 8221)",1
"(5075,)",1
"(3533,)",1
"(9223, 9223, 9223)",1
"(9511, 9511)",1
"(213, 9223, 213, 9223)",1
"(1629, 1629, 1629, 1629)",1
"(9111,)",1
"(9199, 9199)",1
"(7349,)",1
"(4619,)",1
"(9711,)",1
"(6552,)",1
"(9999, 1629, 9999)",1
"(9131, 9199, 9111)",1
"(2899, 2899)",1
"(9511, 1629, 1629, 1629)",1
"(7216, 3585, 1711, 4911, 4911, 3674, 9199, 9199, 241, 241, 3069, 3069, 3069, 2834, 4222, 4222, 5541, 5541, 5511, 3469, 3469, 3496, 3469, 3469, 4911, 4911, 5541, 3429, 5651, 5331, 8731, 7532, 8731, 2834, 2834, 2834, 7538, 5571, 5541, 5399, 7532, 5541, 5541, 3691, 3679, 5231, 5331, 8062, 5331, 5331, 7992, 5541, 5651, 7538, 8731, 3479, 5722, 5541, 5651, 7538, 5651, 4213, 4213, 5331, 7538, 5912, 172, 5331, 4231, 5541, 5331, 7359, 5331, 5331, 7538, 4231, 4231, 4231, 7538, 4141, 4141, 7218, 1442, 1442, 3398, 3398, 3441, 3441, 5093, 5093, 3273, 3273, 5015, 5015, 3732, 3732, 3273, 3273, 3679, 3679, 2434, 2434, 2434, 2434, 2752, 2752, 3479, 3479, 2024, 2024, 3599, 3599, 3599, 3599, 8731)",1
"(2011, 2011)",1
"(7533, 5511, 2084, 2084, 2084, 2084, 2834, 4812, 3429, 3089, 3089, 8093, 7538, 8111, 172, 2493, 2493, 2821, 3089, 2821, 2013, 5541, 241, 742, 7216, 7538, 5521, 8111, 7538, 7532, 5015, 2836, 3241, 1429, 3241, 1429, 5015, 5015, 4212, 4212, 4213, 4213, 1389, 1389, 4213, 4213, 2099, 2099, 2671, 2671, 3711, 3711, 5171, 5171, 3841, 3841, 4212, 3711, 3711)",1
"(4911,)",1
"(2044, 2044, 2044, 3341, 5093, 3334, 5093, 3672, 3672, 3499, 3499, 3499, 5511, 5511, 5983, 8221, 4214, 4214, 7353, 7353, 5198, 5198, 4941, 9224, 5072, 3732, 3732, 3732, 7539, 5992, 4231, 2951, 2951, 3471, 3471, 3471)",1
