sic_description,count
"('Mobile Home Site Operators',)",47
"('Water Supply',)",35
"('Elementary and Secondary Schools', 'Elementary and Secondary Schools')",34
"('Water Supply', 'Water Supply')",14
"('Trailer Parks and Campsites',)",12
"('Sporting and Recreational Camps',)",8
"('Mobile Home Site Operators', 'Mobile Home Site Operators')",8
"('Correctional Institutions', 'Correctional Institutions')",7
"('Trailer Parks and Campsites', 'Trailer Parks and Campsites')",6
"('Elementary and Secondary Schools',)",5
"('MISSING_DESCRIPTION', 'MISSING_DESCRIPTION')",5
"('Religious Organizations',)",4
"('Heavy Construction, Nec', 'Heavy Construction, Nec', 'Heavy Construction, Nec')",4
"('Nonresidential Construction, Nec',)",3
"('Oil and Gas Field Services, Nec',)",3
"('Air, Water, and Solid Waste Management', 'Air, Water, and Solid Waste Management', 'Air, Water, and Solid Waste Management')",2
"('Air, Water, and Solid Waste Management',)",2
"('Residential Care',)",2
"('Water Supply', 'Water Supply', 'Water Supply')",2
"('Membership Sports and Recreation Clubs',)",2
"('Electric Services', 'Electric Services', 'Electric Services', 'Electric Services', 'Electric Services', 'Electric Services', 'Electric Services', 'Electric Services')",2
"('Amusement and Recreation, Nec', 'Amusement and Recreation, Nec')",2
"('Heavy Construction, Nec', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Heavy Construction, Nec', 'Heavy Construction, Nec')",2
"('Finishing Plants, Manmade', 'Finishing Plants, Manmade', 'Finishing Plants, Manmade', 'Finishing Plants, Manmade')",2
"('General Government, Nec',)",2
"('Skilled Nursing Care Facilities', 'Skilled Nursing Care Facilities')",1
"('Fabricated Pipe and Fittings',)",1
"('Oil and Gas Field Machinery', 'Oil and Gas Field Machinery', 'Oil and Gas Field Machinery', 'Oil and Gas Field Machinery')",1
"('Elementary and Secondary Schools', 'Elementary and Secondary Schools', 'Elementary and Secondary Schools', 'Elementary and Secondary Schools')",1
"('Miscellaneous Personal Services', 'Miscellaneous Personal Services')",1
"('Fabricated Pipe and Fittings', 'Fabricated Pipe and Fittings', 'Valves and Pipe Fittings, Nec')",1
"('Amusement and Recreation, Nec',)",1
"('Turbines and Turbine Generator Sets', 'Turbines and Turbine Generator Sets', 'Repair Services, Nec', 'Turbines and Turbine Generator Sets', 'Repair Services, Nec', 'Turbines and Turbine Generator Sets', 'Repair Services, Nec')",1
"('Mobile Home Site Operators', 'Mobile Home Site Operators', 'Mobile Home Site Operators')",1
"('Correctional Institutions', 'Correctional Institutions', 'Correctional Institutions', 'Correctional Institutions', 'Hogs')",1
"('Trailer Parks and Campsites', 'Trailer Parks and Campsites', 'Services, Nec', 'Land, Mineral, and Wildlife Conservation', 'Trailer Parks and Campsites')",1
"('Skilled Nursing Care Facilities', 'Correctional Institutions', 'Skilled Nursing Care Facilities', 'Correctional Institutions')",1
"('Residential Construction, Nec', 'Facilities Support Services', 'Facilities Support Services')",1
"('Colleges and Universities', 'Colleges and Universities', 'Colleges and Universities', 'Animal Aquaculture', 'Animal Aquaculture')",1
"('Gasoline Service Stations',)",1
"('Explosives', 'Industrial Machinery and Equipment', 'Oil and Gas Field Machinery', 'Oil and Gas Field Machinery', 'Oil and Gas Field Machinery', 'Industrial Machinery and Equipment')",1
