,Unnamed: 0,CWNS_NUM,FACILITY,STATE,CITY,LATITUDE,LONGITUDE,FLOW_2022_MGD_FINAL,CO2_emission,CH4_emission,N2O_emission,electricity_emission,onsite_NG_emission,upstream_NG_emission,LF_CH4,LA_N2O,total_emission,TT,TT_count,TT_flow_mgd,MMT_year,cumulative_emissions,cumulative_distribution,facility_rank,facility_fraction
0,2301,17000721001,"MWRDGC, Stickney Treatment Plant",IL,Cicero,41.8139,-87.7704,1200.0,95392.37736,1728622.5940800002,1029981.3674522616,185963.23566948765,0.0,0.0,0.0,52535.457534246576,3092495.032095996,['*E1'],1,1200.0,1.1287606867150384,3092495.032095996,0.026704714746469772,1,6.302388605281402e-05
1,6330,26000596001,GLWA WRRF,MI,Detroit,42.2832,-83.1285,686.0,54532.64239080001,639851.052,123769.96816725186,780013.9279013756,130389.1279,29412.82281,0.0,0.0,1757969.5411391477,"['*B1', '*B5']",2,343.0,0.641658882515789,4850464.573235144,0.04188536164868475,2,0.00012604777210562803
2,8821,36002001001,New York (C) - Wards Island WPCP,NY,New York,40.787528,-73.922889,550.0,43721.506290000005,792285.3556,401565.67891721264,232637.6651655761,0.0,0.0,5657.693287671233,8805.078082,1484672.977362652,['F1'],1,550.0,0.541905636737368,6335137.550597796,0.054706002568320956,3,0.00018907165815844205
3,3557,17000721009,"MWRDGC, CALUMET WRP, MWRDGC",IL,Chicago,41.6625,-87.61,450.0,35772.14151,648233.4727800001,386243.01279459806,69736.21337605787,0.0,0.0,0.0,8473.631506849315,1148458.4719675053,['*E1'],1,450.0,0.4191873422681395,7483596.0225653015,0.0646233203242923,4,0.00025209554421125606
4,6484,11000001001,BLUE PLAINS STP,DC,Washington,38.816781,-77.032755,384.0,30525.56076,553159.2301056001,329594.0375847237,79454.02350331508,0.0,0.0,0.0,27921.43561643836,1020654.2875652772,['*E1e'],1,384.0,0.3725388149613262,8504250.31013058,0.0734370067882342,5,0.0003151194302640701
5,15609,48000000409,Austin 5 Year CIP - Citywide Wastewater,TX,Austin,30.274486,-97.740297,285.0,22655.689623,410547.8661,244620.5747699121,295338.5237966453,0.0,0.0,17835.81802552413,22722.474113410502,1013720.946422492,['*E1'],1,285.0,0.37000814544420957,9517971.25655307,0.08219082156425538,6,0.0003781433163168841
6,14370,55000000052,MILWAUKEE MSD COMBINED - South Shore,WI,South Milwaukee,42.901276,-87.846851,265.0,21065.816667000003,381737.4895260001,227454.21864570773,257077.80864572956,0.0,0.0,16584.18167285577,21127.914526504504,925047.4296837976,['*E1e'],1,265.0,0.33764231183458615,10443018.686236868,0.0901789112718459,7,0.0004411672023696981
7,2763,25000128001,MWRA Deer Island WWTF,MA,Boston,42.3505,-70.9569,315.0,25040.49906,453763.430946,229987.6161071309,190722.1282050164,0.0,0.0,0.0,16021.68082191781,915535.3551,['F1e'],1,315.0,0.33417040461150005,11358554.041336868,0.0980848610775866,8,0.0005041910884225121
8,10681,36002001011,New York (C) - Newtown Creek WPCP,NY,New York,40.7314,-73.9464,317.0,25199.48635,456644.4686028,272086.7445686391,95897.13864743944,0.0,0.0,3741.965589041096,4767.189041,858336.9928016156,['*E1'],1,317.0,0.3132930023725897,12216891.034138484,0.10549688415643185,9,0.0005672149744753262
9,5012,29001023002,Lemay WWTP,MO,Saint Louis,38.5327,-90.2709,350.0,27822.77673,504181.58994,63147.94294247544,229647.1861641958,0.0,0.0,0.0,0.0,824799.4957766712,['*A1e'],1,350.0,0.301051815958485,13041690.529915156,0.1126192998852033,10,0.0006302388605281402
10,6470,27000001001,METROPOLITAN WWTP,MN,Saint Paul,44.92579687,-93.04530563,200.0,15898.729560000002,186545.496204,146023.88324262275,224705.8933472641,108389.323,24450.167,0.0,0.0,706013.4924,"['*G1e', '*G6']",2,100.0,0.257694924726,13747704.022315156,0.11871595928999541,11,0.0006932627465809542
11,224,17000721007,"MWRDGC, NORTHSIDE (Terrence O'Brien) WRP",IL,Skokie,42.0191,-87.7163,230.0,18283.538994,331319.3305,197413.0954283501,35642.953503318466,0.0,0.0,6759.248246575343,8611.146575342465,598029.3132795865,['*E1'],1,230.0,0.21828069934704908,14345733.335594742,0.12388013968653899,12,0.0007562866326337682
12,320,4001318001,Phoenix 91st Ave WWTP,AZ,Phoenix,33.396533,-112.246327,204.5,16256.45098,294586.1004,149309.4206155818,122752.06630169862,0.0,0.0,12720.300481718148,0.0,595624.3387818985,['F1'],1,204.5,0.21740288365539293,14941357.67437664,0.12902355233494822,13,0.0008193105186865823
13,6168,13000012004,RM Clayton WRP,GA,Atlanta,33.823278,-84.454393,100.0,7949.364780000001,144051.8828,73011.94162131139,213205.34632686805,123868.445,27941.905,1435.1605091780823,1828.365678082192,593292.4117554397,['*D1e'],1,100.0,0.2165517302907355,15534650.08613208,0.1341468280242339,14,0.0008823344047393962
14,10301,48000004001,Central WWTP - TRA,TX,Dallas,32.7787,-96.9264,335.0,26630.37201,142353.6048,60441.602530655065,221900.80817314316,76446.41905530212,17244.574103061044,24.75500287671233,40075.62560958904,585117.7612570272,"['*A4', '*A5']",2,167.5,0.2135679828588149,16119767.847389106,0.13919951290983304,15,0.0009453582907922103
15,10624,36002001002,New York (C) - Hunts Point WPCP,NY,Bronx,40.8014,-73.8796,200.0,15898.729560000002,288103.7657,146023.88324262275,69932.70687112324,0.0,0.0,4846.518918,9591.088356164384,534396.6926277187,['F1e'],1,200.0,0.1950547928091173,16654164.540016824,0.14381420463608222,16,0.0010083821768450242
16,6201,29001023001,Bissell Point WWTP,MO,Saint Louis,38.67361,-90.19497,250.0,19873.41195,233181.870255,45105.67353,210054.93665289864,18233.45875,4113.05375,0.0,0.0,530562.4048882382,"['*A1e', '*A6', '*C1e', '*C6']",4,62.5,0.19365527778420696,17184726.94490506,0.148395786022856,17,0.0010714060628978382
17,9381,6004009001,LACSD (Joint Water Pollution Control Plant),CA,Carson,33.8044,-118.2839,260.0,20668.34843,374534.895384,46909.90047155319,65408.492356636285,0.0,0.0,0.0,0.0,507521.6366401895,['*B1e'],1,260.0,0.18524539737366916,17692248.581545252,0.1527784027751784,18,0.0011344299489506524
18,182,48004122001,Village Creek Water Reuse Facility,TX,Arlington,32.779848,-97.143936,166.0,13195.9455348,239126.1255144,142480.75583089617,87856.64994359617,0.0,0.0,183.36184931506853,15927.359589041092,498770.1982620485,['*E1e'],1,166.0,0.1820511223656477,18191018.7798073,0.15708544797020355,19,0.0011974538350034663
19,1499,18000061001,City of Indianapolis ,IN,Indianapolis,39.7474,-86.1739,245.0,19475.94371,104109.35274180002,44203.56005973281,212315.77321117237,93135.09135,21009.15915,71.13978465753425,90.63065753424657,494410.65066589694,"['*C5', '*B5']",2,122.5,0.1804598874930524,18685429.430473197,0.16135484703361955,20,0.0012604777210562803
20,8233,36009071001,Buffalo Sewer Authority Bird Island STP,NY,Buffalo,42.925,-78.903,150.0,11924.047170000002,216077.82426,109517.9124319671,58259.74749621982,69676.317,15717.393,0.0,0.0,481173.2413581869,['*G1'],1,150.0,0.17562823309573822,19166602.671831384,0.16550993670094089,21,0.0013235016071090943
21,2005,39001792002,Columbus Southerly WWTP & Sewers,OH,Lockbourne,39.8181,-82.9993,111.879,8893.669822216201,161163.80600256362,81685.03016650697,217608.00868667965,0.0,0.0,0.0,0.0,469350.5146779665,['F1'],1,111.879,0.17131293785745774,19635953.186509352,0.1695629332233278,22,0.0013865254931619084
22,6898,42000094001,PHILADELPHIA WATER DEPT (NE),PA,Philadelphia,39.9914,-75.085,210.0,16693.66604,302508.95396400004,37888.76576548527,58330.520047734215,0.0,0.0,0.0,33485.75133,448907.6571402456,['*A1e'],1,210.0,0.16385129485618963,20084860.843649596,0.17343939892723914,23,0.0014495493792147224
23,5365,36002001012,New York (C) - North River WPCP,NY,New York,40.8256,-73.9569,170.0,13513.92013,244888.2008,145914.02705573704,33961.23814018243,0.0,0.0,2193.1922328767123,2794.082876712329,443264.6612595085,['*E1e'],1,170.0,0.1617916013597206,20528125.504909106,0.17726713550022333,24,0.0015125732652675364
24,2157,6004010001,Hyperion WRP,CA,Playa Del Rey,33.9308,-118.4349,215.0,17091.13428,309711.5481,38790.879236092056,44801.74274241529,0.0,0.0,3535.742322739726,28060.884123287677,441991.9308075347,['*A1e'],1,215.0,0.16132705474475018,20970117.43571664,0.18108388162590966,25,0.0015755971513203503
