,Unnamed: 0,FACILITY_CODE,SOURCE,STATE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID,check_sewer_permits
0,0,AK00005,CWNS2012,AK,Juneau-Douglas Sewer System,Juneau,58.2868,-134.3826,1.17,1.617666573,2000102001,AK0023213,sewer_system
1,1,AK00015,CWNS2012,AK,MENDENHALL VALLEY TREATMENT PLANT,Juneau,58.3614,-134.5965,2.14,2.958808945,2000102002,AK0022951,sewer_system
2,2,AK00025,CWNS2012,AK,AUKE BAY STP,Juneau,58.3874,-134.6486,0.13,0.17974073,2000102003,AKG572004,sewer_system
3,3,AK00035,CWNS2012,AK,"POINT WORONZOF, JOHN ASPLUND WWTP",ANCHORAGE,61.1964,-150.0235,29.66,41.00853893,2000106001,AK0022551,sewer_system
4,4,AK00045,CWNS2012,AK,EAGLE RIVER WWTP,ANCHORAGE,61.3198,-149.5841,1.4,1.935669404,2000106002,AK0022543,sewer_system
5,5,AK00055,CWNS2012,AK,GIRDWOOD WWTP,ANCHORAGE,60.9494,-149.1577,0.46,0.636005661,2000106003,AK0047856,sewer_system
6,6,AK00065,CWNS2012,AK,KENAI STP,Kenai,60.5503,-151.2684,0.57,0.7880939714249999,2000111001,AK0021377,sewer_system
7,7,AK00075,CWNS2012,AK,DILLINGHAM WWTP,Dillingham,59.451,-157.3141,0.273,0.377455534,2000119001,AKG570018,sewer_system
8,8,AK00085,CWNS2012,AK,SOLDOTNA WWTP,Soldotna,60.483,-151.087,1.02,1.410273423,2000123001,AK0020036,sewer_system
9,9,AK00095,CWNS2012,AK,UNALASKA WASTEWATER TP,Unalaska,53.8805,-166.5602,0.483,0.667805944,2000175001,AK0043451,sewer_system
10,10,AK00105,CWNS2012,AK,WASILLA WWTP,Wasilla,61.5661,-149.3779,0.3,0.414786301,2000299001,0,no_permit
11,11,AK00115,CWNS2012,AK,North Pole,North Pole,64.7444,-147.3642,0.28,0.387133881,2000500032,AK0021393,sewer_system
12,12,AK00135,ICIS2022,AK,BARROW WWTF,BARROW,71.3067,-156.712,0.6,0.829572602,2000500010,AKG572006,sewer_system
13,13,AK00140,ICIS2022,AK,CITY OF FAIRBANKS AND GOLDEN HEART UTILITIES INC WWTF,FAIRBANKS,64.8033,-147.775,8,11.06096802,2000107001,AK0023451,sewer_system
14,14,AK00145,ICIS2022,AK,"CORDOVA, CITY OF",CORDOVA,60.538611,-145.782222,0.319,0.4410561,2000125001,AK0021547,sewer_system
15,15,AK00150,ICIS2022,AK,HOMER WW TREATMENT FACILITY,HOMER,59.6328,-151.548,0.37,0.511569771,2000114001,AK0021245,sewer_system
16,16,AK00175,ICIS2022,AK,METLAKATLA SEWER TREATMENT PLANT,METLAKATLA INDIAN COMMUNITY,55.123669,-131.594051,0,0,2000366001,AK0053813,sewer_system
