,Unnamed: 0,FACILITY_CODE,SOURCE,STATE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID
313,320,AL02900,ICIS2022,AL,ADDISON LAGOON & SPRAYFIELD,ADDISON,34.2,-87.166667,52.0,71.89629213,0,AL0075621
314,321,AL02905,ICIS2022,AL,ALABAMA DEPARTMENT OF CONSERVATION LAKEPOINT STATE PARK,EUFAULA,31.992222,-85.099722,0.15,0.20739315,0,AL0023906
315,322,AL03005,ICIS2022,AL,DELWOOD HCR LAGOON,ORRVILLE,32.274631,-87.273478,0.263,0.363629324,0,AL0048151
316,323,AL03035,ICIS2022,AL,GREENETRACK WWT LAGOON,EUTAW,32.908472,-87.861306,0.489,0.67610167,0,AL0074993
678,702,AL03080,ICIS2022,AL,JOE WHEELER STATE PARK AND ROGERSVILLE LAGOON,ROGERSVILLE,34.805,-87.3307,0.261,0.360864082,0,AL0032387
679,703,AL03100,ICIS2022,AL,LEXINGTON LAGOON AND SPRAYFIELD,LEXINGTON,34.961667,-87.354111,0.187,0.258550127,0,AL0072834
682,706,AL03130,ICIS2022,AL,MALLARD FOX WEST WWTP,TRINITY,34.614444,-87.109722,0.102,0.141027342,0,AL0076708
700,768,AL03135,ICIS2022,AL,MEADOWBROOK HCR LAGOON,CAMDEN,31.967478,-87.209906,0.33,0.456264931,0,AL0079081
732,866,AL03140,ICIS2022,AL,MILLER CREEK WWTP,MOBILE,31.083056,-88.245833,0.15,0.20739315,0,AL0081299
733,867,AL03145,ICIS2022,AL,MILLEY'S CREEK WPCP,PIKE ROAD,32.387075,-86.043642,0.0,0.0,0,AL0082431
734,868,AL03215,ICIS2022,AL,POARCH CREEK WWTP,ATMORE,31.133333,-87.529167,0.18,0.24887178,0,AL0079880
735,869,AL03240,ICIS2022,AL,ROLLING HILLS WASTEWATER LAGOON,MONTGOMERY,32.242817,-86.169719,0.8,1.106096802,0,AL0059315
736,870,AL03250,ICIS2022,AL,SEARCY HOSPITAL LAGOON,MOUNT VERNON,31.0802,-88.0219,0.2,0.276524201,0,AL0056928
737,871,AR03905,ICIS2022,AR,"BIGELOW, CITY OF",BIGELOW,35.001917,-92.614889,0.1,0.1382621,0,AR0049999
738,872,AR03920,ICIS2022,AR,CONCORD WATER AND SEWER WASTEWATER TREATMENT PLANT,VAN BUREN,35.451,-94.299778,0.15,0.20739315,0,AR0050938
807,978,AR04020,ICIS2022,AR,SOUTHSIDE PUBLIC WATER AUTHORITY - WASTEWATER TREATMENT PLANT,INDEPENDENCE COUNTY,35.683722,-91.622722,0.14,0.19356694,0,AR0050784
970,1370,AZ01570,ICIS2022,AZ,CHINLE WWTF,CHINLE,36.179194,-109.585806,0.45,0.622179451,0,NN0020265
971,1371,AZ01585,ICIS2022,AZ,HON-DAH REGIONAL WWTF,WHITERIVER,34.063656,-109.924548,0.4,0.553048401,0,AZ0024589
972,1372,AZ01590,ICIS2022,AZ,KAYENTA WASTEWATER TREATMENT LAGOON,KAYENTA,36.733111,-110.230611,0.27,0.373307671,0,NN0020281
973,1373,AZ01600,ICIS2022,AZ,TUBA CITY WWTF,TUBA CITY,36.091389,-111.288889,0.462,0.638770903,0,NN0020290
974,1374,AZ01610,ICIS2022,AZ,UPPER VILLAGE OF MOENKOPI WWTF,TUBA CITY,36.108333,-111.233611,0.185,0.255784885,0,AZ0024619
975,1375,AZ01615,ICIS2022,AZ,WHITERIVER SEWAGE LAGOONS,WHITERIVER,33.837031,-109.964,0.6,0.829572602,0,AZ0024058
976,1376,AZ01620,ICIS2022,AZ,WINDOW ROCK WWTF,FORT DEFIANCE,35.639444,-109.080278,0.326,0.450734447,0,NN0021555
978,1378,CA04960,ICIS2022,CA,CENTINELA STATE PRISON WWTP,IMPERIAL,32.792028,-115.774306,0.96,1.327316162,0,CA7000001
1190,1665,CA04985,ICIS2022,CA,FOREST MEADOWS WWRP,MURPHYS,38.161354,-120.417311,0.84,1.161401642,0,CA0085278
1192,1667,CA05000,ICIS2022,CA,HAYWARD MARSH,HAYWARD,37.649694,-122.142667,3.09,4.272298898,0,CA0038636
1193,1668,CA05010,ICIS2022,CA,MID-VALLEY WRP NO.4,THERMAL,33.353111,-116.121389,5.5,7.604415514,0,CA0104973
1194,1669,CA05015,ICIS2022,CA,MINERAL WWTP,MINERAL,40.348333,-121.623611,0.75,1.036965752,0,CA0084069
1440,2160,CA05025,ICIS2022,CA,MOUNTAIN HOUSE WWTP,MOUNTAIN HOUSE,37.797778,-121.522222,0.91,1.258185112,0,CA0084271
1441,2161,CA05030,ICIS2022,CA,NORTHWEST WWTF,RIO VISTA,38.194306,-121.712444,0.27,0.373307671,0,CA0083771
1442,2162,CA05050,ICIS2022,CA,SCOTIA WWTF,SCOTIA,40.454694,-124.039111,5.0,6.913105013,0,CA0006017
1443,2163,CA05060,ICIS2022,CA,THUNDER VALLEY CASINO WWTP,LINCOLN,38.839111,-121.307556,0.875,1.209793377,0,CA0084697
1444,2164,CO02820,ICIS2022,CO,LA JUNTA CITY OF,LA JUNTA,37.9869,-103.529444,2.5,3.456552506,0,CO0021261
1445,2165,CO02830,ICIS2022,CO,SOUTHERN UTE INDIAN TRIBE,IGNACIO,37.104167,-107.631528,0.8,1.106096802,0,CO0022853
1728,2511,CO02835,ICIS2022,CO,TOWAOC LAGOON 1,TOWAOC,37.185417,-108.7205,0.0,0.0,0,COG587103
1729,2512,CO02840,ICIS2022,CO,TOWAOC LAGOON 2,TOWAOC,37.186417,-108.700611,0.0,0.0,0,COG587101
1730,2513,FL03810,ICIS2022,FL,DISTRICT II WWTF,JACKSONVILLE,30.4229306,-81.6184222,10.0,13.82621003,0,FL0026450
1731,2514,FL03815,ICIS2022,FL,MILITARY POINT INDUSTRIAL LAGOON,PANAMA CITY,30.1156,-85.6305333,37.0,51.15697709,0,FL0002631
1732,2515,FL03820,ICIS2022,FL,MONTEREY WRF,JACKSONVILLE,30.3306031,-81.6011646,3.6,4.977435609,0,FL0023604
1733,2516,FL03825,ICIS2022,FL,NASSAU REGIONAL WWTF,YULEE,30.6216389,-81.5530861,2.0,2.765242005,0,FL0116793
1734,2517,FL03830,ICIS2022,FL,PALM BEACH COUNTY SOUTHERN REGION WATER RECLAMATION FACILITY,BOYNTON BEACH,26.4867611,-80.1711028,30.0,41.47863008,0,FL0041424
1735,2518,FL03835,ICIS2022,FL,PASCO COUNTY UTILITIES - MASTER REUSE SYSTEM,NEW PORT RICHEY,28.320111,-82.4185,26.75,36.98511182,0,FL0127272
1736,2519,GA03450,ICIS2022,GA,"ABBEVILLE, CITY OF (ABBEVILLE WPCP)",ABBEVILLE,31.995918,-83.296967,0.29,0.400960091,0,GA0047643
1737,2520,GA03455,ICIS2022,GA,"AMERICUS, CITY OF (MILL CREEK WPCP)",AMERICUS,32.037412,-84.229801,2.2,3.041766206,0,GA0047767
