,Unnamed: 0,FACILITY_CODE,SOURCE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID,sic_code_type
11,12,AK00135,ICIS2022,BARROW WWTF,BARROW,71.3067,-156.712,0.6,0.829572602,2000500010,AKG572006,sewer_system
12,13,AK00140,ICIS2022,CITY OF FAIRBANKS AND GOLDEN HEART UTILITIES INC WWTF,FAIRBANKS,64.8033,-147.775,8,11.06096802,2000107001,AK0023451,sewer_system
13,14,AK00145,ICIS2022,"CORDOVA, CITY OF",CORDOVA,60.538611,-145.782222,0.319,0.4410561,2000125001,AK0021547,sewer_system
14,15,AK00150,ICIS2022,HOMER WW TREATMENT FACILITY,HOMER,59.6328,-151.548,0.37,0.511569771,2000114001,AK0021245,sewer_system
15,16,AK00175,ICIS2022,METLAKATLA SEWER TREATMENT PLANT,METLAKATLA INDIAN COMMUNITY,55.123669,-131.594051,0,0,2000366001,AK0053813,sewer_system
16,17,AK00180,ICIS2022,MOUNTAIN POINT WWTF,KETCHIKAN,55.2944,-131.539,0.148,0.204627908,2000108002,AKG572028,sewer_system
17,18,AK00235,ICIS2022,"WRANGELL, CITY OF WWTP",WRANGELL,56.452436,-132.379463,0.354,0.489447835,2000118001,AK0021466,sewer_system
304,311,AL02940,ICIS2022,CAHABA RIVER WWTP,BIRMINGHAM,33.374344,-86.787014,10.09,13.95064592,1000197004,AL0023027,sewer_system
305,312,AL02975,ICIS2022,CLIFTON C. WILLIAMS WWTP,MOBILE,30.660089,-88.039458,22.17,30.65270763,1000108001,AL0023086,sewer_system
306,313,IL02007,ICIS2022,"MORRIS WWTP #2 - STP, CITY OF",MORRIS,41.371111,-88.405,0.9,1.244358902,,IL0076902,sewer_system
308,315,ND01347,ICIS2022,FINLEY CITY OF,FINLEY,47.501783,-97.827383,6.53,9.028515146,,NDG322004,sewer_system
310,317,PR00237,ICIS2022,PRASA PUERTO NUEVO WWTP,SAN JUAN,18.431111,-66.085556,80,110.6096802,,PR0021555,sewer_system
312,319,TX01517,ICIS2022,BIG SPRING WATER RECLAMATION PLANT,BIG SPRING,32.257456,-101.43092,0.525,0.725876026,,TX0131857,sewer_system
313,320,AL02900,ICIS2022,ADDISON LAGOON & SPRAYFIELD,ADDISON,34.2,-87.166667,52,71.89629213,0,AL0075621,sewer_system
314,321,AL02905,ICIS2022,ALABAMA DEPARTMENT OF CONSERVATION LAKEPOINT STATE PARK,EUFAULA,31.992222,-85.099722,0.15,0.20739315,0,AL0023906,sewer_system
315,322,AL03005,ICIS2022,DELWOOD HCR LAGOON,ORRVILLE,32.274631,-87.273478,0.263,0.363629324,0,AL0048151,sewer_system
316,323,AL03035,ICIS2022,GREENETRACK WWT LAGOON,EUTAW,32.908472,-87.861306,0.489,0.67610167,0,AL0074993,sewer_system
317,324,AL03330,ICIS2022,WRIGHT SMITH JR. WWTP,MOBILE,30.718611,-88.068611,9.59,13.25933541,1000108002,AL0023094,sewer_system
678,702,AL03080,ICIS2022,JOE WHEELER STATE PARK AND ROGERSVILLE LAGOON,ROGERSVILLE,34.805,-87.3307,0.261,0.360864082,0,AL0032387,sewer_system
679,703,AL03100,ICIS2022,LEXINGTON LAGOON AND SPRAYFIELD,LEXINGTON,34.961667,-87.354111,0.187,0.258550127,0,AL0072834,sewer_system
680,704,AR03930,ICIS2022,FAULKNER COUNTY PUBLIC FACILITY BOARD - D/B/A PRESTON COMMUNITY WW UTILITY,MAYFLOWER,35.027222,-92.411806,0.929,1.284454911,5000804001,AR0050571,sewer_system
681,705,AR04000,ICIS2022,RUNYAN SID #211,GRAVEL RIDGE,34.876417,-92.2235,0.38,0.525395981,5000850001,AR0038075,sewer_system
682,706,AL03130,ICIS2022,MALLARD FOX WEST WWTP,TRINITY,34.614444,-87.109722,0.102,0.141027342,0,AL0076708,sewer_system
700,768,AL03135,ICIS2022,MEADOWBROOK HCR LAGOON,CAMDEN,31.967478,-87.209906,0.33,0.456264931,0,AL0079081,sewer_system
732,866,AL03140,ICIS2022,MILLER CREEK WWTP,MOBILE,31.083056,-88.245833,0.15,0.20739315,0,AL0081299,sewer_system
733,867,AL03145,ICIS2022,MILLEY'S CREEK WPCP,PIKE ROAD,32.387075,-86.043642,0,0,0,AL0082431,sewer_system
734,868,AL03215,ICIS2022,POARCH CREEK WWTP,ATMORE,31.133333,-87.529167,0.18,0.24887178,0,AL0079880,sewer_system
735,869,AL03240,ICIS2022,ROLLING HILLS WASTEWATER LAGOON,MONTGOMERY,32.242817,-86.169719,0.8,1.106096802,0,AL0059315,sewer_system
736,870,AL03250,ICIS2022,SEARCY HOSPITAL LAGOON,MOUNT VERNON,31.0802,-88.0219,0.2,0.276524201,0,AL0056928,sewer_system
737,871,AR03905,ICIS2022,"BIGELOW, CITY OF",BIGELOW,35.001917,-92.614889,0.1,0.1382621,0,AR0049999,sewer_system
738,872,AR03920,ICIS2022,CONCORD WATER AND SEWER WASTEWATER TREATMENT PLANT,VAN BUREN,35.451,-94.299778,0.15,0.20739315,0,AR0050938,sewer_system
807,978,AR04020,ICIS2022,SOUTHSIDE PUBLIC WATER AUTHORITY - WASTEWATER TREATMENT PLANT,INDEPENDENCE COUNTY,35.683722,-91.622722,0.14,0.19356694,0,AR0050784,sewer_system
970,1370,AZ01570,ICIS2022,CHINLE WWTF,CHINLE,36.179194,-109.585806,0.45,0.622179451,0,NN0020265,sewer_system
971,1371,AZ01585,ICIS2022,HON-DAH REGIONAL WWTF,WHITERIVER,34.063656,-109.924548,0.4,0.553048401,0,AZ0024589,sewer_system
972,1372,AZ01590,ICIS2022,KAYENTA WASTEWATER TREATMENT LAGOON,KAYENTA,36.733111,-110.230611,0.27,0.373307671,0,NN0020281,sewer_system
973,1373,AZ01600,ICIS2022,TUBA CITY WWTF,TUBA CITY,36.091389,-111.288889,0.462,0.638770903,0,NN0020290,sewer_system
974,1374,AZ01610,ICIS2022,UPPER VILLAGE OF MOENKOPI WWTF,TUBA CITY,36.108333,-111.233611,0.185,0.255784885,0,AZ0024619,sewer_system
975,1375,AZ01615,ICIS2022,WHITERIVER SEWAGE LAGOONS,WHITERIVER,33.837031,-109.964,0.6,0.829572602,0,AZ0024058,sewer_system
976,1376,AZ01620,ICIS2022,WINDOW ROCK WWTF,FORT DEFIANCE,35.639444,-109.080278,0.326,0.450734447,0,NN0021555,sewer_system
977,1377,CA01047,ICIS2022,SANTA YNEZ BAND/CHUMASH WWTP,SANTA YNEZ,34.608483,-120.090014,0.11,0.15208831,,CA0050008,sewer_system
978,1378,CA04960,ICIS2022,CENTINELA STATE PRISON WWTP,IMPERIAL,32.792028,-115.774306,0.96,1.327316162,0,CA7000001,sewer_system
1189,1664,CO02810,ICIS2022,FAIRPLAY SANITATION DISTRICT WWTF,FAIRPLAY,39.220278,-105.984444,0.3,0.414786301,8209000053,CO0040088,sewer_system
1190,1665,CA04985,ICIS2022,FOREST MEADOWS WWRP,MURPHYS,38.161354,-120.417311,0.84,1.161401642,0,CA0085278,sewer_system
1191,1666,CO02825,ICIS2022,NEDERLAND TOWN OF WWTF,BOULDER COUNTY,39.961944,-105.503611,0.25,0.345655251,8000152001,CO0020222,sewer_system
1192,1667,CA05000,ICIS2022,HAYWARD MARSH,HAYWARD,37.649694,-122.142667,3.09,4.272298898,0,CA0038636,sewer_system
1193,1668,CA05010,ICIS2022,MID-VALLEY WRP NO.4,THERMAL,33.353111,-116.121389,5.5,7.604415514,0,CA0104973,sewer_system
1194,1669,CA05015,ICIS2022,MINERAL WWTP,MINERAL,40.348333,-121.623611,0.75,1.036965752,0,CA0084069,sewer_system
